Value, Filtered Value, Time
0, 0, 0
-10, -1, 0.02
39, 1, 0.0586829
3, 1, 0.0657662
1, 1, 0.0759564
2, 1, 0.0813285
0, 0.01083875, 0.0868735
2, 1, 0.092523
1, 1, 0.0966444
0, 0.003725886, 0.1004534
2, 1, 0.1066811
0, 0.007284164, 0.1104043
2, 1, 0.1162483
2, 1, 0.1216518
0, 0.007758021, 0.1256177
0, 0, 0.1292621
0, 0, 0.1330266
3, 1, 0.1409151
2, 1, 0.1456819
0, 0.006916046, 0.1492166
3, 1, 0.15411
3, 1, 0.1599343
0, 0.01054698, 0.163528
3, 1, 0.1679275
2, 1, 0.1759948
0, 0.007226229, 0.1796883
5, 1, 0.1837332
5, 1, 0.1921605
0, 0.01816154, 0.1958737
5, 1, 0.2003259
0, 0.02712309, 0.2058763
3, 1, 0.2100032
0, 0.01127923, 0.2138469
4, 1, 0.2181879
0, 0.01492691, 0.2220029
3, 1, 0.2266875
4, 1, 0.2356971
1, 1, 0.2400621
0, 0.003824353, 0.243972
1, 0.9962394, 0.2478166
0, 0.003485858, 0.2513798
0, 0, 0.2549496
0, 0, 0.2590239
0, 0, 0.2625629
0, 0, 0.2662745
0, 0, 0.2697849
0, 0, 0.2741463
0, 0, 0.2778053
2, 1, 0.2819466
0, 0.007453322, 0.2857564
0, 0, 0.2894928
0, 0, 0.2932099
0, 0, 0.2969254
0, 0, 0.3004763
2, 1, 0.3046114
0, 0.006759763, 0.3080661
4, 1, 0.3120392
0, 0.01480007, 0.3158217
3, 1, 0.3197851
0, 0.01144177, 0.3236843
3, 1, 0.3278195
0, 0.01105338, 0.3315861
0, 0, 0.3355601
0, 0, 0.3391833
0, 0, 0.3428513
5, 1, 0.3470027
0, 0.01824766, 0.3507335
3, 1, 0.3547009
0, 0.01168334, 0.3586826
5, 1, 0.3625946
2, 1, 0.3683499
0, 0.007068157, 0.3719625
4, 1, 0.3758765
0, 0.0144577, 0.3795714
3, 1, 0.3837855
0, 0.01104963, 0.3875508
4, 1, 0.3915511
0, 0.01706147, 0.3959128
4, 1, 0.3999845
5, 1, 0.4088836
0, 0.01958787, 0.412889
4, 1, 0.417992
3, 1, 0.4238145
0, 0.01145267, 0.4277174
1, 0.9958525, 0.4319584
0, 0.003879428, 0.4359247
2, 1, 0.4402272
0, 0.007601738, 0.444113
4, 1, 0.4561409
1, 1, 0.4616243
2, 1, 0.4659676
0, 0.007216811, 0.4696563
2, 1, 0.4738272
0, 0.007302523, 0.4775598
1, 0.9955935, 0.4820662
0, 0.003868103, 0.4860209
3, 1, 0.4900509
0, 0.01060134, 0.4936632
1, 0.9963073, 0.4974382
0, 0.004018545, 0.501547
3, 1, 0.505969
0, 0.01071239, 0.5096192
2, 1, 0.5136917
0, 0.007316232, 0.5174313
3, 1, 0.5213453
0, 0.01215166, 0.5254869
2, 1, 0.5296173
0, 0.006938457, 0.5331635
2, 1, 0.5372751
0, 0.007176161, 0.540943
3, 1, 0.5450006
0, 0.01036298, 0.5485315
3, 1, 0.5523956
0, 0.01078892, 0.5560719
2, 1, 0.5604067
0, 0.008609891, 0.564809
3, 1, 0.5692171
0, 0.01076889, 0.5728866
1, 0.9958777, 0.5771017
0, 0.003479183, 0.5806581
0, 0, 0.5845003
0, 0, 0.5882905
0, 0, 0.5918872
0, 0, 0.5953521
0, 0, 0.5988648
0, 0, 0.6030942
1, 0.9953763, 0.6078232
0, 0.003783345, 0.6116911
1, 0.9959963, 0.6157847
0, 0.003357232, 0.6192162
0, 0, 0.6228291
3, 1, 0.6270707
0, 0.01037353, 0.6306052
2, 1, 0.6346435
0, 0.007002354, 0.6382224
3, 1, 0.643056
2, 1, 0.6480707
0, 0.00732708, 0.6518159
4, 1, 0.6562848
0, 0.01719213, 0.66068
2, 1, 0.6652206
0, 0.007395625, 0.6690009
2, 1, 0.6729744
0, 0.007466793, 0.6767911
